epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5799,1.45115,3.77752,1.81909,0.00507,0.775,0.1461,0.09594,1.79197,4.71042,2.83991,2e-05,2e-05,2e-05
2,40.3365,1.55895,3.63576,1.92129,0.02674,0.73333,0.14669,0.0947,1.85765,4.57432,2.79269,4.901e-05,4.901e-05,4.901e-05
3,59.4836,1.3855,3.6198,1.728,0.0305,0.56944,0.15957,0.09112,1.78271,4.68127,2.62119,7.6832e-05,7.6832e-05,7.6832e-05
4,78.3092,1.39411,3.56746,1.73038,0.04945,0.65833,0.16847,0.0905,1.84558,4.63507,2.56345,0.000103466,0.000103466,0.000103466
5,96.5016,1.28142,3.42307,1.62298,0.05696,0.63611,0.16589,0.07791,1.78407,4.71427,2.37467,0.000128912,0.000128912,0.000128912
6,114.968,1.19351,3.36921,1.53041,0.05091,0.64444,0.15948,0.07614,1.78237,4.71975,2.33872,0.00015317,0.00015317,0.00015317
7,132.198,1.23094,3.35003,1.57305,0.0529,0.68611,0.21119,0.09634,1.94819,4.83868,2.4054,0.00017624,0.00017624,0.00017624
8,149.283,1.24914,3.22075,1.54289,0.04219,0.75278,0.22876,0.09521,2.15003,4.85123,2.58831,0.000198122,0.000198122,0.000198122
9,166.073,1.11189,3.10984,1.50346,0.03038,0.78611,0.25909,0.12143,2.06591,4.62151,2.59297,0.000218816,0.000218816,0.000218816
10,182.412,1.27444,3.11031,1.61968,0.02304,0.81944,0.26504,0.10399,2.11577,4.69983,2.61935,0.000238322,0.000238322,0.000238322
11,198.784,1.24264,2.97084,1.56599,0.01884,0.81944,0.29143,0.15175,1.86556,4.53661,2.32336,0.00025664,0.00025664,0.00025664
12,215.262,1.27102,2.89323,1.59232,0.01048,0.81944,0.30484,0.12208,2.1234,4.58722,2.65713,0.00027377,0.00027377,0.00027377
13,231.672,1.25138,2.77239,1.62716,0.00901,0.875,0.31277,0.13244,1.78093,4.54467,2.2792,0.000289712,0.000289712,0.000289712
14,247.922,1.21382,2.8856,1.57508,0.00791,0.84167,0.28507,0.11318,1.74051,4.47135,2.4768,0.000304466,0.000304466,0.000304466
15,264.059,1.27801,2.64892,1.59906,0.00781,0.84167,0.3041,0.1434,1.69992,4.44186,2.33793,0.000318032,0.000318032,0.000318032
16,280.382,1.17938,2.40819,1.50882,0.00816,0.84167,0.26968,0.10871,1.94278,4.56855,2.6296,0.00033041,0.00033041,0.00033041
17,296.881,1.33394,2.37543,1.69482,0.00753,0.875,0.29956,0.127,1.83364,4.52679,2.42703,0.0003416,0.0003416,0.0003416
18,313.192,1.19658,2.27792,1.49101,0.72022,0.04167,0.27394,0.12008,1.79953,4.4008,2.38176,0.000351602,0.000351602,0.000351602
19,329.304,1.20669,2.14125,1.51222,0.73893,0.04167,0.29558,0.13216,1.822,4.3236,2.38851,0.000360416,0.000360416,0.000360416
20,345.305,1.19602,2.03806,1.49436,0.75969,0.08136,0.2957,0.13609,2.03477,4.44961,2.60771,0.000368042,0.000368042,0.000368042
21,361.49,1.12227,1.96096,1.46981,0.78692,0.125,0.2917,0.13072,2.15962,4.46758,2.70334,0.00037448,0.00037448,0.00037448
22,376.127,1.17601,2.06899,1.48653,0.7682,0.10021,0.39953,0.1758,2.05715,4.35222,2.60683,0.00037973,0.00037973,0.00037973
23,390.804,1.16575,2.0133,1.49761,0.74752,0.07956,0.41063,0.19367,1.94409,4.20549,2.57654,0.000383792,0.000383792,0.000383792
24,405.345,1.11083,1.82521,1.43167,0.86042,0.09722,0.39822,0.15848,1.92437,4.19666,2.69022,0.000386666,0.000386666,0.000386666
25,420.037,1.14727,1.84493,1.53275,0.84008,0.09722,0.33553,0.13265,2.11257,4.30437,2.78499,0.000388352,0.000388352,0.000388352
26,434.901,1.04701,1.67402,1.39321,0.68942,0.15553,0.28623,0.10332,2.29765,4.468,2.97914,0.00038885,0.00038885,0.00038885
27,449.729,1.03645,1.67135,1.36577,0.67381,0.07087,0.39146,0.11172,2.3137,4.50274,3.03983,0.00038816,0.00038816,0.00038816
28,464.329,1.03308,1.71203,1.32601,0.29191,0.30405,0.42811,0.15439,2.38002,4.21677,3.17486,0.000386282,0.000386282,0.000386282
29,478.961,1.02215,1.61874,1.38144,0.61555,0.27893,0.36912,0.1917,2.36893,4.28128,3.27157,0.000383216,0.000383216,0.000383216
30,493.833,1.1334,1.59502,1.41737,0.55683,0.30556,0.34573,0.1632,2.57082,4.3497,3.60164,0.000378962,0.000378962,0.000378962
31,508.56,1.00464,1.49389,1.31714,0.54988,0.33166,0.38285,0.16538,2.57151,4.27746,3.69148,0.00037352,0.00037352,0.00037352
32,523.208,1.02949,1.50697,1.3708,0.61984,0.36636,0.51889,0.20547,2.29947,4.10735,3.18796,0.00036689,0.00036689,0.00036689
33,537.901,1.12396,1.48236,1.37015,0.58722,0.37503,0.49211,0.19946,2.41025,4.07082,3.26265,0.000359072,0.000359072,0.000359072
34,552.567,0.96668,1.52122,1.35903,0.35964,0.45373,0.41256,0.15661,2.60071,4.15054,3.36464,0.0003466,0.0003466,0.0003466
35,567.428,0.96137,1.74336,1.39507,0.34129,0.39654,0.36451,0.15352,2.56662,4.18369,3.42386,0.0003268,0.0003268,0.0003268
36,582.29,1.05013,1.45231,1.38443,0.30938,0.35097,0.35888,0.12482,2.64356,4.16539,3.47152,0.000307,0.000307,0.000307
37,597.029,1.0085,1.56587,1.38038,0.54985,0.34583,0.35654,0.14614,2.70593,4.06426,3.43494,0.0002872,0.0002872,0.0002872
38,611.843,0.87964,1.31304,1.24719,0.67261,0.31111,0.45052,0.17502,2.71242,3.98001,3.45678,0.0002674,0.0002674,0.0002674
39,626.652,0.97968,1.49732,1.37916,0.59663,0.31111,0.46088,0.18031,2.59054,3.90081,3.2874,0.0002476,0.0002476,0.0002476
40,641.465,0.89533,1.32839,1.27302,0.31222,0.40987,0.50172,0.20966,2.48794,3.82906,3.17627,0.0002278,0.0002278,0.0002278
41,656.361,0.73996,1.83352,1.19351,0.31484,0.43772,0.50731,0.2173,2.48576,3.70683,3.22217,0.000208,0.000208,0.000208
42,670.889,0.74933,1.7507,1.27152,0.63862,0.37515,0.52329,0.22886,2.26579,3.78625,3.05513,0.0001882,0.0001882,0.0001882
43,685.337,0.79548,1.90725,1.29247,0.62643,0.37778,0.55404,0.23747,2.16021,3.77166,2.9519,0.0001684,0.0001684,0.0001684
44,699.812,0.80352,1.90642,1.36084,0.64304,0.41111,0.54144,0.2553,1.98148,3.76427,2.80415,0.0001486,0.0001486,0.0001486
45,714.562,0.69336,1.80878,1.18658,0.58561,0.37778,0.55798,0.2808,2.00255,3.73993,2.81448,0.0001288,0.0001288,0.0001288
46,729.466,0.69809,1.72501,1.288,0.61699,0.37047,0.51345,0.23994,2.02042,3.74807,2.83866,0.000109,0.000109,0.000109
47,744.373,0.8214,1.77864,1.31988,0.61978,0.37168,0.53237,0.25092,2.03788,3.78271,2.83717,8.92e-05,8.92e-05,8.92e-05
48,759.185,0.683,1.68886,1.18215,0.63413,0.3704,0.5163,0.23296,2.07389,3.80875,2.86745,6.94e-05,6.94e-05,6.94e-05
49,775.094,0.75989,1.70801,1.32895,0.64672,0.36935,0.51731,0.23057,2.09007,3.80115,2.88945,4.96e-05,4.96e-05,4.96e-05
50,790.714,0.64754,1.70543,1.18196,0.65985,0.35471,0.50003,0.23118,2.1054,3.78398,2.92972,2.98e-05,2.98e-05,2.98e-05
